name,url,State,Party,Served,District
"Representative Fuqua, Don",https://www.congress.gov/member/don-fuqua/F000430,Florida,Democratic,House: 1963-1987,2
"Representative Furse, Elizabeth",https://www.congress.gov/member/elizabeth-furse/F000434,Oregon,Democratic,House: 1993-1999,1
"Resident Commissioner Fuster, Jamie B.",https://www.congress.gov/member/jamie-fuster/F000435,Puerto Rico,Democratic,House: 1985-1993,At Large
"Representative Gabbard, Tulsi",https://www.congress.gov/member/tulsi-gabbard/G000571,Hawaii,Democratic,House: 2013-2021,2
"Representative Gaetz, Matt",https://www.congress.gov/member/matt-gaetz/G000578,Florida,Republican,House: 2017-Present,1
"Representative Gallagher, Mike",https://www.congress.gov/member/mike-gallagher/G000579,Wisconsin,Republican,House: 2017-Present,8
"Representative Gallegly, Elton",https://www.congress.gov/member/elton-gallegly/G000021,California,Republican,House: 1987-2013,24
"Representative Gallego, Pete P.",https://www.congress.gov/member/pete-gallego/G000572,Texas,Democratic,House: 2013-2015,23
"Representative Gallego, Ruben",https://www.congress.gov/member/ruben-gallego/G000574,Arizona,Democratic,House: 2015-Present,7
"Representative Gallo, Dean A.",https://www.congress.gov/member/dean-gallo/G000025,New Jersey,Republican,House: 1985-1995,11
"Representative Gammage, Robert A.",https://www.congress.gov/member/bob-gammage/G000036,Texas,Democratic,House: 1977-1979,22
"Representative Ganske, Greg",https://www.congress.gov/member/greg-ganske/G000041,Iowa,Republican,House: 1995-2003,4
"Representative Garamendi, John",https://www.congress.gov/member/john-garamendi/G000559,California,Democratic,House: 2009-Present,3
"Representative Garbarino, Andrew R.",https://www.congress.gov/member/andrew-garbarino/G000597,New York,Republican,House: 2021-Present,2
"Representative Garcia, Jesus G. ""Chuy""",https://www.congress.gov/member/jesus-garcia/G000586,Illinois,Democratic,House: 2019-Present,4
"Representative Garcia, Joe",https://www.congress.gov/member/joe-garcia/G000573,Florida,Democratic,House: 2013-2015,26
"Representative Garcia, Mike",https://www.congress.gov/member/mike-garcia/G000061,California,Republican,House: 2020-Present,25
"Representative Garcia, Robert",https://www.congress.gov/member/robert-garcia/G000047,New York,Democratic,House: 1977-1991,18
"Representative Garcia, Sylvia R.",https://www.congress.gov/member/sylvia-garcia/G000587,Texas,Democratic,House: 2019-Present,29
"Senator Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Colorado,Republican,Senate: 2015-2021 House: 2011-2015,
"Senator Garn, E. J. (Jake)",https://www.congress.gov/member/edwin-garn/G000072,Utah,Republican,Senate: 1975-1993,
"Representative Garrett, Scott",https://www.congress.gov/member/scott-garrett/G000548,New Jersey,Republican,House: 2003-2017,5
"Representative Garrett, Thomas A., Jr.",https://www.congress.gov/member/thomas-garrett/G000580,Virginia,Republican,House: 2017-2019,5
"Representative Gaydos, Joseph M.",https://www.congress.gov/member/joseph-gaydos/G000105,Pennsylvania,Democratic,House: 1967-1993,20
"Representative Gejdenson, Sam",https://www.congress.gov/member/samuel-gejdenson/G000120,Connecticut,Democratic,House: 1981-2001,2
"Representative Gekas, George W.",https://www.congress.gov/member/george-gekas/G000121,Pennsylvania,Republican,House: 1983-2003,17
"Representative Gephardt, Richard A.",https://www.congress.gov/member/richard-gephardt/G000132,Missouri,Democratic,House: 1977-2005,3
"Representative Geren, Pete",https://www.congress.gov/member/pete-geren/G000134,Texas,Democratic,House: 1989-1997,12
"Representative Gerlach, Jim",https://www.congress.gov/member/jim-gerlach/G000549,Pennsylvania,Republican,House: 2003-2015,6
"Representative Gettys, Tom S.",https://www.congress.gov/member/thomas-gettys/G000144,South Carolina,Democratic,House: 1963-1975,5
"Representative Giaimo, Robert N.",https://www.congress.gov/member/robert-giaimo/G000151,Connecticut,Democratic,House: 1959-1981,3
"Representative Gianforte, Greg",https://www.congress.gov/member/greg-gianforte/G000584,Montana,Republican,House: 2017-2021,At Large
"Representative Gibbons, Jim",https://www.congress.gov/member/jim-gibbons/G000152,Nevada,Republican,House: 1997-2007,2
"Representative Gibbons, Sam",https://www.congress.gov/member/sam-gibbons/G000153,Florida,Democratic,House: 1963-1997,11
"Representative Gibbs, Bob",https://www.congress.gov/member/bob-gibbs/G000563,Ohio,Republican,House: 2011-Present,7
"Representative Gibson, Christopher P.",https://www.congress.gov/member/christopher-gibson/G000564,New York,Republican,House: 2011-2017,19
"Representative Giffords, Gabrielle",https://www.congress.gov/member/gabrielle-giffords/G000554,Arizona,Democratic,House: 2007-2012,8
"Representative Gilchrest, Wayne T.",https://www.congress.gov/member/wayne-gilchrest/G000180,Maryland,Republican,House: 1991-2009,1
"Senator Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,New York,Democratic,Senate: 2009-Present House: 2007-2009,
"Representative Gillmor, Paul E.",https://www.congress.gov/member/paul-gillmor/G000210,Ohio,Republican,House: 1989-2007,5
"Representative Gilman, Benjamin A.",https://www.congress.gov/member/benjamin-gilman/G000212,New York,Republican,House: 1973-2003,20
"Representative Gimenez, Carlos A.",https://www.congress.gov/member/carlos-gimenez/G000593,Florida,Republican,House: 2021-Present,26
"Representative Gingrey, Phil",https://www.congress.gov/member/phil-gingrey/G000550,Georgia,Republican,House: 2003-2015,11
"Representative Gingrich, Newt",https://www.congress.gov/member/newt-gingrich/G000225,Georgia,Republican,House: 1979-1999,6
"Representative Ginn, Bo",https://www.congress.gov/member/bo-ginn/G000226,Georgia,Democratic,House: 1973-1983,1
"Senator Glenn, John H., Jr.",https://www.congress.gov/member/john-glenn/G000236,Ohio,Democratic,Senate: 1975-1999,
"Representative Glickman, Dan",https://www.congress.gov/member/dan-glickman/G000240,Kansas,Democratic,House: 1977-1995,4
"Representative Gohmert, Louie",https://www.congress.gov/member/louie-gohmert/G000552,Texas,Republican,House: 2005-Present,1
"Representative Golden, Jared F.",https://www.congress.gov/member/jared-golden/G000592,Maine,Democratic,House: 2019-Present,2
"Senator Goldwater, Barry",https://www.congress.gov/member/barry-goldwater/G000267,Arizona,Republican,"Senate: 1953-1965, 1969-1987",
"Representative Goldwater, Barry, Jr.",https://www.congress.gov/member/barry-goldwater/G000268,California,Republican,House: 1969-1983,20
"Representative Gomez, Jimmy",https://www.congress.gov/member/jimmy-gomez/G000585,California,Democratic,House: 2017-Present,34
"Representative Gonzales, Tony",https://www.congress.gov/member/tony-gonzales/G000594,Texas,Republican,House: 2021-Present,23
"Representative Gonzalez, Anthony",https://www.congress.gov/member/anthony-gonzalez/G000588,Ohio,Republican,House: 2019-Present,16
"Representative Gonzalez, Charles A.",https://www.congress.gov/member/charles-gonzalez/G000544,Texas,Democratic,House: 1999-2013,20
"Representative Gonzalez, Henry B.",https://www.congress.gov/member/henry-gonzalez/G000272,Texas,Democratic,House: 1961-1999,20
"Representative Gonzalez, Vicente",https://www.congress.gov/member/vicente-gonzalez/G000581,Texas,Democratic,House: 2017-Present,15
"Resident Commissioner González-Colón, Jenniffer",https://www.congress.gov/member/jenniffer-gonzalez-colon/G000582,Puerto Rico,Republican,House: 2017-Present,At Large
"Representative Good, Bob",https://www.congress.gov/member/bob-good/G000595,Virginia,Republican,House: 2021-Present,5
"Representative Goode, Virgil H., Jr.",https://www.congress.gov/member/virgil-goode/G000280,Virginia,Republican,House: 1997-2009,5
"Representative Gooden, Lance",https://www.congress.gov/member/lance-gooden/G000589,Texas,Republican,House: 2019-Present,5
"Representative Goodlatte, Bob",https://www.congress.gov/member/robert-goodlatte/G000289,Virginia,Republican,House: 1993-2019,6
"Representative Goodling, George A.",https://www.congress.gov/member/george-goodling/G000290,Pennsylvania,Republican,"House: 1961-1965, 1967-1975",19
"Representative Goodling, William F.",https://www.congress.gov/member/bill-goodling/G000291,Pennsylvania,Republican,House: 1975-2001,19
"Senator Goodwin, Carte Patrick",https://www.congress.gov/member/carte-goodwin/G000561,West Virginia,Democratic,Senate: 2010,
"Representative Gordon, Bart",https://www.congress.gov/member/bart-gordon/G000309,Tennessee,Democratic,House: 1985-2011,6
"Senator Gore, Albert, Jr.",https://www.congress.gov/member/albert-gore/G000321,Tennessee,Democratic,Senate: 1985-1993 House: 1977-1985,
"Senator Gorton, Slade",https://www.congress.gov/member/thomas-gorton/G000333,Washington,Republican,"Senate: 1981-1987, 1989-2001",
"Representative Gosar, Paul A.",https://www.congress.gov/member/paul-gosar/G000565,Arizona,Republican,House: 2011-Present,4
"Representative Goss, Porter J.",https://www.congress.gov/member/porter-goss/G000336,Florida,Republican,House: 1989-2004,14
"Representative Gottheimer, Josh",https://www.congress.gov/member/josh-gottheimer/G000583,New Jersey,Democratic,House: 2017-Present,5
"Representative Gowdy, Trey",https://www.congress.gov/member/trey-gowdy/G000566,South Carolina,Republican,House: 2011-2019,4
"Representative Gradison, Willis D., Jr.",https://www.congress.gov/member/willis-gradison/G000349,Ohio,Republican,House: 1975-1995,2
"Senator Graham, Bob",https://www.congress.gov/member/daniel-graham/G000352,Florida,Democratic,Senate: 1987-2005,
"Representative Graham, Gwen",https://www.congress.gov/member/gwen-graham/G000575,Florida,Democratic,House: 2015-2017,2
"Senator Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,South Carolina,Republican,Senate: 2003-Present House: 1995-2003,
"Senator Gramm, Phil",https://www.congress.gov/member/william-gramm/G000365,Texas,Republican,Senate: 1985-2002 House: 1979-1985,
"Senator Grams, Rod",https://www.congress.gov/member/rod-grams/G000367,Minnesota,Republican,Senate: 1995-2001 House: 1993-1995,
"Representative Grandy, Fred",https://www.congress.gov/member/fred-grandy/G000371,Iowa,Republican,House: 1987-1995,5
"Representative Granger, Kay",https://www.congress.gov/member/kay-granger/G000377,Texas,Republican,House: 1997-Present,12
"Representative Grant, Bill",https://www.congress.gov/member/bill-grant/G000382,Florida,Republican,House: 1987-1991,2
"Senator Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Iowa,Republican,Senate: 1981-Present House: 1975-1981,
"Representative Grasso, Ella T.",https://www.congress.gov/member/ella-grasso/G000387,Connecticut,Democratic,House: 1971-1975,6
"Senator Gravel, Mike",https://www.congress.gov/member/maurice-gravel/G000388,Alaska,Democratic,Senate: 1969-1981,
"Representative Graves, Garret",https://www.congress.gov/member/garret-graves/G000577,Louisiana,Republican,House: 2015-Present,6
"Representative Graves, Sam",https://www.congress.gov/member/sam-graves/G000546,Missouri,Republican,House: 2001-Present,6
"Representative Graves, Tom",https://www.congress.gov/member/tom-graves/G000560,Georgia,Republican,House: 2010-2020,14
"Representative Gray, Kenneth J.",https://www.congress.gov/member/kenneth-gray/G000400,Illinois,Democratic,"House: 1955-1975, 1985-1989",22
"Representative Gray, William H., III",https://www.congress.gov/member/william-gray/G000402,Pennsylvania,Democratic,House: 1979-1993,2
"Representative Grayson, Alan",https://www.congress.gov/member/alan-grayson/G000556,Florida,Democratic,"House: 2009-2011, 2013-2017",9
"Representative Green, Al",https://www.congress.gov/member/al-green/G000553,Texas,Democratic,House: 2005-Present,9
"Representative Green, Edith",https://www.congress.gov/member/edith-green/G000407,Oregon,Democratic,House: 1955-1975,3
"Representative Green, Gene",https://www.congress.gov/member/gene-green/G000410,Texas,Democratic,House: 1993-2019,29
"Representative Green, Mark",https://www.congress.gov/member/mark-green/G000545,Wisconsin,Republican,House: 1999-2007,8
"Representative Green, Mark E.",https://www.congress.gov/member/mark-green/G000590,Tennessee,Republican,House: 2019-Present,7
"Representative Green, S. William",https://www.congress.gov/member/s-green/G000417,New York,Republican,House: 1977-1993,15
"Representative Green, William J.",https://www.congress.gov/member/william-green/G000420,Pennsylvania,Democratic,House: 1963-1977,3
"Representative Greene, Marjorie Taylor",https://www.congress.gov/member/marjorie-greene/G000596,Georgia,Republican,House: 2021-Present,14
"Representative Greenwood, James C.",https://www.congress.gov/member/james-greenwood/G000439,Pennsylvania,Republican,House: 1993-2005,8
"Senator Gregg, Judd",https://www.congress.gov/member/judd-gregg/G000445,New Hampshire,Republican,Senate: 1993-2011 House: 1981-1989,
"Senator Griffin, Robert P.",https://www.congress.gov/member/robert-griffin/G000465,Michigan,Republican,Senate: 1973-1979 House: 1957-1965,
"Representative Griffin, Tim",https://www.congress.gov/member/tim-griffin/G000567,Arkansas,Republican,House: 2011-2015,2
"Representative Griffith, H. Morgan",https://www.congress.gov/member/h-griffith/G000568,Virginia,Republican,House: 2011-Present,9
"Representative Griffith, Parker",https://www.congress.gov/member/parker-griffith/G000557,Alabama,Republican,House: 2009-2011,5
"Representative Griffiths, Martha W.",https://www.congress.gov/member/martha-griffiths/G000471,Michigan,Democratic,House: 1955-1975,17
"Representative Grijalva, Raúl M.",https://www.congress.gov/member/ral-grijalva/G000551,Arizona,Democratic,House: 2003-Present,3
"Representative Grimm, Michael G.",https://www.congress.gov/member/michael-grimm/G000569,New York,Republican,House: 2011-2015,11
"Representative Grisham, Wayne R.",https://www.congress.gov/member/wayne-grisham/G000480,California,Republican,House: 1979-1983,33
"Representative Gross, H. R.",https://www.congress.gov/member/harold-gross/G000495,Iowa,Republican,House: 1949-1975,3
"Representative Grotberg, John E.",https://www.congress.gov/member/john-grotberg/G000499,Illinois,Republican,House: 1985-1987,14
"Representative Grothman, Glenn",https://www.congress.gov/member/glenn-grothman/G000576,Wisconsin,Republican,House: 2015-Present,6
"Representative Grover, James R., Jr.",https://www.congress.gov/member/james-grover/G000504,New York,Republican,House: 1963-1975,2
"Representative Grucci, Felix J., Jr.",https://www.congress.gov/member/felix-grucci/G000547,New York,Republican,House: 2001-2003,1
"Representative Guarini, Frank J.",https://www.congress.gov/member/frank-guarini/G000511,New Jersey,Democratic,House: 1979-1993,14
"Representative Gubser, Charles S.",https://www.congress.gov/member/charles-gubser/G000512,California,Republican,House: 1953-1975,10
"Representative Gude, Gilbert",https://www.congress.gov/member/gilbert-gude/G000513,Maryland,Republican,House: 1967-1977,8
"Representative Gudger, V. Lamar",https://www.congress.gov/member/lamar-gudger/G000515,North Carolina,Democratic,House: 1977-1981,11
"Representative Guest, Michael",https://www.congress.gov/member/michael-guest/G000591,Mississippi,Republican,House: 2019-Present,3
